,word0,word1,word2,word3,word4,word5
0,black,masked,latino,hispanic,vulnerable,transgender
1,masked,black,grieving,slain,revealing,divestment
2,latino,minority,hispanic,predominantly,black,divestment
3,hispanic,asian,latino,population,black,predominantly
4,vulnerable,affluent,black,prosperous,poor,savviest
5,transgender,lgbt,grieving,black,gay,proud
6,haitian,pygmy,irish,lu,verdean,diaspora
7,pygmy,émigré,derived,methodist,american,asian
8,irish,american,lebanese,dominican,african,immigrant
9,lu,lingzi,geoff,leo,zumba,émigré
10,verdean,cod,verdeans,trendy,dominican,verde
11,diaspora,stereotyping,comebacks,darren,haitian,pygmy
12,jamaican,marble,unlawfully,spicy,dutch,chevy
13,marble,expansive,jamaican,amusement,cha,unlawfully
14,unlawfully,acid,residual,overpass,resplendent,shreds
15,spicy,tofu,distributors,fried,peanut,collard
16,dutch,asphalt,jamaican,marble,hurdle,residual
17,chevy,shreds,doll,robe,wristbands,bunting
18,dominican,val,verdean,holyoke,irish,lebanese
19,val,vernon,dominican,woburn,maynard,nkevin
20,verdean,cod,verdeans,trendy,dominican,verde
21,holyoke,auburn,eire,dominican,amusement,café
22,irish,american,lebanese,dominican,african,immigrant
23,lebanese,italian,irish,indian,cappella,dominican
24,women,americans,people,men,minorities,performers
25,americans,catholics,tourists,males,men,students
26,people,folks,residents,kids,patients,performers
27,men,performers,people,males,tattered,americans
28,minorities,divestment,women,male,gays,latino
29,performers,men,people,students,kids,chefs
30,chinese,peruvian,lu,rhetorician,pakistani,venezuelan
31,peruvian,pakistani,rhetorician,abner,geoff,chinese
32,lu,lingzi,geoff,leo,zumba,émigré
33,rhetorician,illustrative,peruvian,pakistani,nelsons,wareham
34,pakistani,peruvian,rhetorician,abner,minstrel,greek
35,venezuelan,guatemalan,chinese,minority,expectancy,lawrence
