Census Tract#,Zipcode,Neighborhood,US Geonames Sub-neigborhood,Total Population, Black,Black Proportion,White,White Proportion,American Indian & Alaska Native,American Indian & Alaska Native Proportion,Asian,Asian Proportion,Male ,Male Proportion,Female ,Female Proportion ,Lat,Long,Primary Sub-Neighborhood,Secondary Sub-Neighborhood,Teritriary Sub-Neighborhood(s),T-Stop/Commuter Rail
904.0,"02119, 02121, 02125",Roxbury,,4318,3289,0.7616952292728115,601,0.13918480778138026,0,0.0,139,0.03219082908754053,1861,0.43098656785548867,2457,0.5690134321445114,42.3171635,-71.0747098,Dudley/Brunswick King,Upham's Corner,,Uphams Corner
906.0,"02119, 02125",Roxbury,,2599,1784,0.6864178530203925,304,0.11696806464024626,9,0.0034628703347441324,140,0.053866871873797614,1455,0.5598307041169681,1144,0.44016929588303194,42.3229604,-71.0722753,Nubian Square,Dudley/Brunswick King,Upham's Corner,Uphams Corner / Newmarket
913.0,02125,Dorchester,,2561,1597,0.6235845372901211,532,0.20773135493947675,21,0.008199921905505662,101,0.039437719640765326,1274,0.49746192893401014,1287,0.5025380710659898,42.3199357,-71.0668701,Upham's Corner,Dudley/Brunswick King,Nubian Square,Uphams Corner
914.0,02125,Dorchester,,3165,1740,0.5497630331753555,513,0.16208530805687205,83,0.02622432859399684,47,0.014849921011058451,1722,0.5440758293838862,1443,0.45592417061611373,42.3152689,-71.0698538,Dudley/Brunswick King,Upham's Corner,Jones Hill,
915.0,"02122, 02125",Dorchester,,5048,2766,0.5479397781299524,1025,0.20305071315372425,0,0.0,230,0.04556259904912837,2357,0.4669175911251981,2691,0.5330824088748018,42.3114941,-71.0643707,Jones Hill,Grove Hall,,Hancock Hill @ Trull and Rowell
917.0,02122,Dorchester,Mount Ida,3214,1985,0.6176104542626011,425,0.13223397635345363,47,0.01462352209085252,317,0.09863098942128189,1383,0.4303049159925327,1831,0.5696950840074674,42.3036111,-71.0659136,Meeting House Hill,Dorchester,Bowdoin North/Mount Bodoin,
918.0,"02121, 02122, 02125",Dorchester,,3528,2776,0.7868480725623582,273,0.07738095238095238,24,0.006802721088435374,69,0.0195578231292517,1627,0.46116780045351474,1901,0.5388321995464853,42.3073664,-71.0705167,Bowdoin North/Mount Bodoin,Gorve Hall,Jones Hill,Four Corners/Geneva
919.0,"02121, 02124",Dorchester,Dorchester/ Mount Bowdoin,4194,3325,0.7927992370052456,416,0.09918931807343824,0,0.0,55,0.013113972341440152,1806,0.43061516452074394,2388,0.5693848354792561,42.3008408,-71.0755308,Dorchester,Franklin Field North,,Four Corners/Geneva
920.0,"02122, 02124",Dorchester,,5347,3436,0.6426033289695157,1083,0.20254348232653824,112,0.02094632504207967,262,0.04899943893772209,2442,0.4567046942210585,2905,0.5432953057789415,42.2996758,-71.0675668,Dorchester,Fields Corner West,,Fields Corner
923.0,02124,Dorchester,,3392,2750,0.8107311320754716,432,0.12735849056603774,87,0.02564858490566038,33,0.00972877358490566,1567,0.46196933962264153,1825,0.5380306603773585,42.2939435,-71.0750607,Dorcehster Center,Fields Corner West,,Talbot Ave / Shawmut
924.0,"02121, 02124",Dorchester,,6549,5239,0.7999694609864101,546,0.08337150710032067,99,0.015116811726981219,34,0.005191632310276378,2845,0.4344174683157734,3704,0.5655825316842266,42.2960418,-71.0849877,Franklin Field South,Fields Corner West,,Talbot Ave
1001.0,"02124, 02126",Dorchester,,7140,5927,0.8301120448179272,1191,0.16680672268907562,212,0.02969187675070028,68,0.009523809523809525,2929,0.4102240896358543,4211,0.5897759103641457,42.2902498,-71.0873027,Franklin Field South,Codman Square,,
1002.0,"02124, 02126",Dorchester,,3440,2815,0.8183139534883721,506,0.14709302325581394,0,0.0,69,0.02005813953488372,1597,0.46424418604651163,1843,0.5357558139534884,42.2848004,-71.0857215,Franklin Field South,West Codman Hill / West Lower Mills,,
1003.0,"02124, 02126",Dorchester,,4106,3709,0.903312226010716,212,0.051631758402338045,84,0.020457866536775452,125,0.03044325377496347,1781,0.4337554797856795,2325,0.5662445202143205,42.2827979,-71.0797972,West Codman Hill/ West Lower Mills,,,Morton Street
1004.0,02124,Dorchester,Ashmont,5703,3882,0.6806943713834824,1098,0.19253024723829562,186,0.03261441346659653,664,0.1164299491495704,2514,0.4408206207259337,3189,0.5591793792740662,42.281787,-71.0708447,West Codman Hill/ West Lower Mills,Ashmont,,Ashmont / Peabody Square
1005.0,02124,Dorchester,,6909,4538,0.6568244319004197,1574,0.2278187870893038,117,0.01693443334780721,753,0.10898827616152844,3180,0.46026921406860616,3729,0.5397307859313938,42.2882344,-71.0707474,Codman Square,Dorchest Center,,Ashmont / Peabody Square
1009.0,"02124, 02126",Mattapan,Lower Mills,4556,2451,0.5379719051799824,1304,0.286215978928885,160,0.03511852502194908,404,0.08867427568042142,2424,0.5320456540825286,2132,0.4679543459174715,42.2740065,-71.0742308,Milton Hill,West Codman Hill / West Lower Mills,,Central Ave/ Milton/Butler
1010.01,02126,Mattapan,,5978,5536,0.9260622281699565,535,0.0894948143191703,101,0.016895282703245234,55,0.009200401472064235,3039,0.5083640013382402,2939,0.4916359986617598,42.2718109,-71.0999859,Southern Mattapan,,,Mlue Hill Avenue
1010.02,02126,Mattapan,Mattapan,6179,5270,0.8528888169606732,776,0.1255866645088202,72,0.011652370933808059,109,0.017640394885903868,2342,0.3790257323191455,3837,0.6209742676808545,42.2740572,-71.0853267,Mattapan,West Codman Hill / West Lower Mills,,Morton Street
1011.01,02126,Mattapan,,3850,3581,0.9301298701298701,91,0.023636363636363636,0,0.0,87,0.0225974025974026,1800,0.4675324675324675,2050,0.5324675324675324,42.2826649,-71.0950819,Wellington Hill,West Codman Hill / West Lower Mills,,Morton Street
1011.02,02126,Mattapan,,5137,4605,0.896437609499708,380,0.07397313607163714,53,0.010317305820517812,37,0.007202647459606774,2508,0.48822269807280516,2629,0.5117773019271948,42.2787961,-71.0920462,Washington Hill,Mattapan,,Morton Street
1102.01,02131,Roslindale,,2528,1269,0.5019778481012658,835,0.3303006329113924,23,0.009098101265822785,40,0.015822784810126583,1085,0.42919303797468356,1443,0.5708069620253164,42.280496,-71.1170508,Washington /Mount Hope,Roslindale,,American Legion Highway @ Stella
1304.06,"02132, 02136",West Roxbury,Germantown,6345,3269,0.5152088258471237,2530,0.3987391646966115,32,0.00504334121355398,455,0.07171000788022065,2951,0.46509062253743105,3394,0.534909377462569,42.2600645,-71.1514976,Hyde Park,West Roxbury,,
1401.06,02131,Roslindale,,2185,1194,0.5464530892448513,776,0.3551487414187643,30,0.013729977116704805,44,0.020137299771167048,953,0.43615560640732265,1232,0.5638443935926774,42.2738738,-71.1371416,Metropolitan Hill/Beech Street,West Street/River Street,,
1403.0,02136,Hyde Park,Hyde Park,7519,4370,0.5811943077536906,2067,0.2749035776034047,23,0.0030589174092299507,52,0.006915813273041628,3415,0.45418273706609924,4104,0.5458172629339008,42.2587734,-71.1188131,Hyde Park,,,
1404.0,"02126, 02131, 02136",Hyde Park,,8961,6983,0.7792657069523491,1324,0.14775136703492914,81,0.009039169735520589,144,0.016069635085369936,4332,0.48342818881821226,4629,0.5165718111817877,42.2692219,-71.1118088,West Street/River Street,,,
9811.0,"02124, 02126, 02130, 02131",Mattapan,Forest Hill,470,249,0.5297872340425532,168,0.3574468085106383,15,0.031914893617021274,8,0.01702127659574468,313,0.6659574468085107,157,0.33404255319148934,42.2879942,-71.1034042,Forest Hills/Woodbourne,Franklin Field North,Lower Washington/Mount Hope,
