Census Tract#,Zipcode,Neighborhood,US Geonames Sub-neigborhood,Total Population, Black,Black Proportion,White,White Proportion,American Indian & Alaska Native,American Indian & Alaska Native Proportion,Asian,Asian Proportion,Male ,Male Proportion,Female ,Female Proportion ,Lat,Long,Primary Sub-Neighborhood,Secondary Sub-Neighborhood,Teritriary Sub-Neighborhood(s),T-Stop/Commuter Rail
801.0,"02118, 02119",Roxbury,,2690,1364,0.5070631970260223,550,0.20446096654275092,63,0.02342007434944238,44,0.016356877323420074,1633,0.6070631970260223,1057,0.3929368029739777,42.3293317,-71.0705291,Lower Roxbury,Columbus Park / Andrew Square,Nubian Square,Massachustts Ave @ Peirson St
803.0,02119,Roxbury,,2089,1546,0.7400670177118238,231,0.1105792245093346,78,0.03733843944471039,76,0.036381043561512685,956,0.45763523216850166,1133,0.5423647678314983,42.3274519,-71.0790504,Nubian Square,Lower Roxbury,Columbus Park/Andrew Square,Dudley St @ Adams St / Dearborn St.
804.01,"02118, 02119, 02120",Roxbury,,3265,1724,0.5280245022970903,721,0.22082695252679937,36,0.011026033690658498,142,0.04349157733537519,1560,0.4777947932618683,1705,0.5222052067381318,42.3321186,-71.0808985,Lower Roxbury,Frederick Douglas Square Historic District,Nubian Square,Ruggles
813.0,02119,Roxbury,,5326,2726,0.511828764551258,1181,0.22174239579421706,36,0.006759294029290274,202,0.03792714983101765,2668,0.5009387908374014,2658,0.49906120916259855,42.319327,-71.0976901,Washington Park ,Roxbury,Egleston Square,Colubmus Ave @ Dimock St / Jackson Square
815.0,02119,Roxbury,Roxbury,2616,1532,0.5856269113149847,425,0.16246177370030582,49,0.018730886850152905,50,0.0191131498470948,1083,0.4139908256880734,1533,0.5860091743119266,42.3207186,-71.0929141,Washington Park,Roxbury,Nubian Square,Washington St @ ML King Blvd / Jackson Square
817.0,02119,Roxbury,,4151,2849,0.6863406408094435,409,0.09853047458443749,328,0.07901710431221393,219,0.05275837147675259,1909,0.4598891833293182,2242,0.5401108166706817,42.3226962,-71.086034,Nubian Square,Fort Hill,,Walnut Ave @ Rockland St
818.0,02119,Roxbury,,3489,2439,0.6990541702493551,605,0.17340212095156204,104,0.029807967899111495,119,0.03410719403840642,1619,0.4640298079678991,1870,0.5359701920321008,42.3203184,-71.0800303,Nubian Square,Washington Park,,Warren St @ Woodbine / Blue Hill Ave and West Cottage St
819.0,"02119, 02121",Roxbury,,3494,2496,0.7143674871207785,718,0.20549513451631368,1,0.00028620492272467084,23,0.00658271322266743,1581,0.45248998282770464,1913,0.5475100171722954,42.3154742,-71.089652,Roxbury,Washington Park,Egleston Square,
820.0,02121,Roxbury,,3409,2354,0.6905250806688178,544,0.1595775887356996,0,0.0,84,0.024640657084188913,1514,0.44411850982692874,1895,0.5558814901730713,42.3137479,-71.0839483,Roxbury,Dudley/Brunswick King,,Warren St @ Gaston St
821.0,02121,Roxbury,,5750,3974,0.6911304347826087,1033,0.17965217391304347,180,0.03130434782608696,20,0.0034782608695652175,2540,0.44173913043478263,3210,0.5582608695652174,42.3094485,-71.0872292,Grove Hall,Roxbury,Egleston Square,
901.0,02121,Dorchester,,5148,3845,0.7468919968919969,487,0.09459984459984459,7,0.0013597513597513598,66,0.01282051282051282,2338,0.4541569541569542,2810,0.5458430458430459,42.3023757,-71.0820198,Franklin Field South,Bowdoin North / Mount Bowdoin,,Old Rd @ Ellington St
902.0,02121,Dorchester,,2587,1755,0.678391959798995,576,0.22265172013915732,17,0.006571318129107074,6,0.0023192887514495554,1291,0.499033629686896,1296,0.500966370313104,42.3071378,-71.0790559,Bowdoin North/Mount Bodoin,Grove Hall,Meeting House Hall,Geneva Ave @ Jeremiah Burke High School / Four Corners/Geneva
903.0,"02121, 02125",Dorchester,,3469,2488,0.7172095704814068,450,0.12972038051311618,27,0.007783222830786971,21,0.006053617757278754,1553,0.4476794465263765,1916,0.5523205534736235,42.3109366,-71.076505,Dudley/Brunswick King,Jones Hill,Upham's Corner,
