,word0,word1,word2,word3,word4,word5
0,black,transgender,asian,white,masked,hispanic
1,haitian,asian,american,hispanic,chinese,northern
2,jamaican,burmese,unlawfully,mali,marble,saharan
3,dominican,northern,lebanese,irish,val,korean
4,women,blacks,men,families,patients,americans
5,chinese,rhetorician,émigré,haitian,verdean,muslim
6,rhetorician,peruvian,pakistani,nelsons,illustrative,ernst
7,émigré,tonk,sidney,pygmy,chinese,lu
8,haitian,asian,american,hispanic,chinese,northern
9,verdean,cod,chinese,verdeans,trendy,smattering
10,muslim,minority,hispanic,jewish,latino,transgender
