,word0,word1,word2,word3,word4,word5
0,black,young,hispanic,white,latino,vietnamese
1,haitian,american,irish,dominican,derived,verdean
2,jamaican,spicy,shops,marble,cafes,haunted
3,dominican,haitian,irish,american,lebanese,korean
4,caribbean,asia,cottage,orthodox,journalists,african
5,women,men,christians,people,residents,patients
6,woman,man,girl,person,victim,suspect
7,man,woman,girl,person,guy,boy
8,girl,woman,man,boy,kid,person
9,person,man,woman,thing,girl,guy
10,victim,suspect,assailant,woman,suspects,smugglers
11,suspect,victim,assailant,perpetrator,woman,suspects
