,word0,word1,word2,word3,word4,word5
0,black,young,hispanic,vietnamese,latino,vulnerable
1,haitian,derived,american,irish,dominican,verdean
2,jamaican,unlawfully,bands,sweetened,spicy,striped
3,dominican,haitian,irish,peruvian,mo,northern
4,women,men,people,patients,christians,households
5,chinese,émigré,catering,fluent,verdean,learners
6,émigré,pygmy,chinese,sidney,haitian,tonk
7,catering,chinese,liberal,household,entrepreneurial,quilts
8,fluent,dickerson,morrison,descent,roman,twins
9,verdean,cod,predominantly,rural,verdeans,haitian
10,learners,brahms,mathematics,recidivism,sexual,lu
