,word0,word1,word2,word3,word4,word5
0,black,latino,young,hispanic,minority,muslim
1,haitian,immigrant,jewish,meng,portuguese,turks
2,jamaican,meng,greek,drugmaker,haitian,portuguese
3,dominican,scotian,overthrown,czech,plymouth,ethiopia
4,women,patients,men,students,voters,defendants
5,chinese,reflective,interacting,oppressed,color,tern
6,reflective,primitive,chinese,martella,turtles,symbolize
7,interacting,praying,entertain,oppressed,tardy,jeered
8,oppressed,unapologetically,angling,stylish,compliment,scrambling
9,color,preponderance,everyday,multiracial,dehumanizing,bhutan
10,tern,glaucous,ipswich,berkley,apponequet,emporium
