,word0,word1,word2,word3,word4,word5
0,black,destitute,young,white,latino,wealthy
1,haitian,armenian,latino,offshoot,african,coalition
2,jamaican,jamaica,rican,greenwood,stacks,amelia
3,dominican,congo,ireland,native,southern,puerto
4,women,men,children,citizens,americans,actresses
5,chinese,cuisine,irish,italian,asian,descent
6,cuisine,chinese,afro,garde,irish,egyptian
7,irish,chinese,italians,afro,italian,ethiopian
8,italian,chinese,advises,irish,peru,saddam
9,asian,african,seethed,chinese,descent,japanese
10,descent,diaspora,americans,afro,asian,african
